Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
47707,5,97,3
47770,5,97,3
47834,5,97,3
47898,5,97,3
47961,5,97,3
48023,5,97,3
48087,5,97,3
48151,5,97,3
48213,5,97,3
48275,5,97,3
48337,5,97,3
48401,5,97,3
48464,5,97,3
48527,5,97,3
48590,5,97,3
48654,5,97,3
48717,5,97,3
48780,5,97,3
48850,5,97,3
48909,5,97,3
48972,5,97,3
49034,5,97,3
49097,5,97,3
49160,6,97,3
49224,6,97,3
49287,6,97,3
49353,5,97,3
49414,5,97,3
49477,5,97,3
49540,5,97,3
49604,5,97,3
49667,5,97,3
49731,5,97,3
49794,5,97,3
49858,5,97,3
49974,5,97,3
50036,5,97,3
50098,5,97,3
50162,4,97,3
50224,4,97,3
50289,4,97,3
50357,4,97,3
50417,4,97,3
50480,4,97,3
50544,4,97,3
50609,4,97,3
50671,4,97,3
50737,4,97,3
50798,3,97,3
50863,4,97,3
50924,4,97,3
50990,4,97,3
51053,4,97,3
51115,4,97,3
51179,4,97,3
51243,4,97,3
51305,4,97,3
51369,4,97,3
51432,4,97,3
51495,4,97,3
51558,4,97,3
51621,4,97,3
51684,4,97,3
51748,4,97,3
51811,4,97,3
51875,4,97,3
51939,3,96,4
52000,4,96,4
52064,4,96,4
52126,4,96,4
52190,5,96,4
52252,5,96,4
52316,5,96,4
52379,4,96,4
52469,4,96,4
52522,4,96,4
52586,4,96,4
52650,4,96,4
52714,4,96,4
52776,4,96,4
52842,4,96,4
52905,4,96,4
52967,4,96,4
53031,4,96,4
53093,4,96,4
53156,4,96,4
53221,4,96,4
53283,4,96,4
53348,4,96,4
53411,4,96,4
53474,4,96,4
53537,4,96,4
53600,4,96,4
53663,4,96,4
53728,4,96,4
53792,4,96,4
53855,4,96,4
53919,3,96,4
53983,3,96,4
54045,3,96,4
54134,3,96,4
54195,3,96,4
54257,3,96,4
54315,3,96,4
54377,3,96,4
54440,3,96,4
54505,3,96,4
54567,3,96,4
54631,3,96,4
54695,3,96,4
54759,3,96,4
54823,3,96,4
54886,3,96,4
54950,3,96,4
55012,3,96,4
55075,3,96,4
55139,3,96,4
55204,3,96,4
55266,4,96,4
55329,4,96,4
55395,4,96,4
55458,4,96,4
55522,4,96,4
55584,4,96,4
55648,4,96,4
55712,4,96,4
55774,4,96,4
55841,4,96,4
55903,4,96,4
55964,5,96,4
56026,5,96,4
56089,5,96,4
56154,5,96,4
56216,5,96,4
56280,5,96,4
56344,5,96,4
56406,5,96,4
56471,5,96,4
56534,5,96,4
56596,5,96,4
56662,5,96,4
56725,5,96,4
56787,5,96,4
56858,5,96,4
56915,5,96,4
56976,5,96,4
57040,5,96,4
57104,5,96,4
57168,5,96,4
57232,7,96,4
57294,7,96,4
57358,7,96,4
57423,8,96,4
57486,8,96,4
57549,8,96,4
57612,9,96,4
57674,9,96,4
57738,9,96,4
57805,9,96,4
57866,9,96,4
57927,9,96,4
57992,9,96,4
58055,9,96,4
58119,9,96,4
58182,9,96,4
58248,9,96,4
58310,8,96,4
58373,8,96,4
58436,8,96,4
58500,8,96,4
58565,8,96,4
58626,8,96,4
58711,8,96,4
58772,8,96,4
58833,8,96,4
58897,8,96,4
58961,8,96,4
59023,8,96,4
59085,8,96,4
59148,8,96,4
59212,8,96,4
59274,8,96,4
59338,8,96,4
59403,8,96,4
59466,8,96,4
59529,8,96,4
59592,8,96,4
59656,8,96,4
59719,8,96,4
59782,8,96,4
59844,8,96,4
59908,8,96,4
59971,8,96,4
60035,8,96,4
60097,8,96,4
60162,8,96,4
60227,8,96,4
60291,8,96,4
60354,8,96,4
60416,7,96,4
60481,7,96,4
60545,8,96,4
60606,8,96,4
60671,8,96,4
60743,9,96,4
60798,9,96,4
60862,9,96,4
60925,9,96,4
60988,9,96,4
61052,9,96,4
61115,9,96,4
61196,9,96,4
61258,9,96,4
61323,9,96,4
61384,9,96,4
61451,8,96,4
61510,8,96,4
61574,8,96,4
61639,7,96,4
61701,7,96,4
61764,7,96,4
61827,7,96,4
61890,7,96,4
61952,7,96,4
62017,7,96,4
62081,7,96,4
62142,7,96,4
62204,7,96,4
62266,8,96,4
62326,8,96,4
62389,8,96,4
62494,8,96,4
62549,9,96,4
62629,10,96,4
62691,11,96,4
62755,11,96,4
62824,10,96,4
62882,10,96,4
62944,10,96,4
63007,10,96,4
63074,11,96,4
63135,11,96,4
63199,10,96,4
63259,10,96,4
63322,10,96,4
63387,10,96,4
63450,10,96,4
63511,10,96,4
63575,10,96,4
63638,10,96,4
63701,10,96,4
63765,10,96,4
63828,10,96,4
63892,10,96,4
63954,10,96,4
64017,10,96,4
64080,10,96,4
64144,10,96,4
64207,10,96,4
64270,10,96,4
64334,10,96,4
64397,10,96,4
64459,10,96,4
64525,9,96,4
64591,9,96,4
64650,9,96,4
64712,9,96,4
64774,9,96,4
64838,9,96,4
64901,8,96,4
64964,8,96,4
65027,8,96,4
65090,8,96,4
65155,8,96,4
65218,8,96,4
65280,8,96,4
65344,8,96,4
65408,8,96,4
65472,8,96,4
65536,8,96,4
65599,8,96,4
65662,8,96,4
65724,8,96,4
65789,8,96,4
65851,8,96,4
65913,8,96,4
65978,9,96,4
66040,8,96,4
66102,8,96,4
66165,8,96,4
66228,8,96,4
66290,8,96,4
66356,7,95,5
66418,7,95,5
66481,7,95,5
66544,7,95,5
66607,7,95,5
66672,7,95,5
66735,7,95,5
66796,7,95,5
66859,7,95,5
66922,7,95,5
66984,7,95,5
67046,7,95,5
67110,7,95,5
67172,7,95,5
67235,7,95,5
67299,8,95,5
67363,8,95,5
67426,8,95,5
67491,9,95,5
67553,9,95,5
67616,9,95,5
67679,10,95,5
67742,9,95,5
67805,9,95,5
67902,10,95,5
67966,10,95,5
68028,10,95,5
68092,11,95,5
68156,11,95,5
68218,11,95,5
68281,11,95,5
68346,11,95,5
68407,11,95,5
68470,11,95,5
68533,11,95,5
68597,11,95,5
68661,11,95,5
68723,11,95,5
68787,11,95,5
68850,11,95,5
68914,11,95,5
68975,11,95,5
69039,11,95,5
69103,11,95,5
69166,11,95,5
69229,10,95,5
69293,10,95,5
69359,10,95,5
69421,10,95,5
69483,10,95,5
69546,10,95,5
69612,10,95,5
69672,10,95,5
69737,10,95,5
69799,10,95,5
69862,10,95,5
69926,10,95,5
69988,10,95,5
70052,10,95,5
70116,10,95,5
70179,10,95,5
70242,10,95,5
70306,10,95,5
70368,10,95,5
70433,9,95,5
70493,9,95,5
70556,9,95,5
70620,9,95,5
70682,9,95,5
70745,9,95,5
70808,9,95,5
70871,9,95,5
70936,9,95,5
70999,10,95,5
71062,10,95,5
71124,10,95,5
71189,10,95,5
71252,10,95,5
71315,10,95,5
71378,10,95,5
71442,10,95,5
71506,10,95,5
71569,10,95,5
71633,10,95,5
71696,10,95,5
71759,10,95,5
71822,10,95,5
71886,10,95,5
71950,10,95,5
72013,10,95,5
72076,10,95,5
72141,10,95,5
72204,10,95,5
72267,10,95,5
72332,10,95,5
72393,10,95,5
72456,10,95,5
72522,12,95,5
72583,12,95,5
72645,12,95,5
72710,12,95,5
72773,12,95,5
72836,12,95,5
72898,12,94,6
72961,13,94,6
73025,13,94,6
73089,13,93,7
73151,13,93,7
73214,13,93,7
73277,13,93,7
73342,14,93,7
73406,14,93,7
73468,14,93,7
73532,14,93,7
73596,14,93,7
73660,14,93,7
73723,14,93,7
73786,14,93,7
73850,14,93,7
73913,14,93,7
73977,14,93,7
74041,14,93,7
74105,14,93,7
74168,14,93,7
74232,14,93,7
74296,14,93,7
74359,14,93,7
74424,14,93,7
74486,14,93,7
74550,14,93,7
74613,14,93,7
74676,14,93,7
74740,14,93,7
74802,14,93,7
74869,14,93,7
74930,14,93,7
74993,14,93,7
75056,14,93,7
75121,13,93,7
75184,13,93,7
75249,12,93,7
75312,12,93,7
75376,12,93,7
75440,12,93,7
75502,12,93,7
75566,12,93,7
75629,12,93,7
75695,12,93,7
75756,12,93,7
75819,12,93,7
75882,12,93,7
75944,12,93,7
76008,12,93,7
76072,12,93,7
76136,12,93,7
76199,12,93,7
76264,13,93,7
76326,13,93,7
76392,12,93,7
76457,13,93,7
76518,13,93,7
76580,13,93,7
76644,13,93,7
76707,13,93,7
76770,12,93,7
76833,12,93,7
76897,12,93,7
76961,12,93,7
77024,12,93,7
77091,11,93,7
77151,11,93,7
77213,11,93,7
77277,11,93,7
77341,11,93,7
77404,11,93,7
77469,11,93,7
77565,11,93,7
77625,11,93,7
77688,11,93,7
77752,11,93,7
77815,11,93,7
77879,11,93,7
77946,11,92,8
78007,11,92,8
78071,11,92,8
78134,11,92,8
78196,12,92,8
78258,12,92,8
78323,11,91,9
78385,11,91,9
78447,11,91,9
78510,11,91,9
78573,11,91,9
78638,11,91,9
78699,11,91,9
78762,10,91,9
78826,10,91,9
78890,10,91,9
78953,10,91,9
79016,10,91,9
79077,10,91,9
79140,10,91,9
79204,10,91,9
79267,10,91,9
79330,10,91,9
79394,10,91,9
79458,9,91,9
79525,9,91,9
79583,9,91,9
79647,9,91,9
79711,9,91,9
79773,9,91,9
79839,9,91,9
79899,9,91,9
79962,9,91,9
80025,9,91,9
80091,8,91,9
80152,8,91,9
80217,8,91,9
80279,8,91,9
80344,8,91,9
80409,8,91,9
80475,8,91,9
80532,8,91,9
80596,8,91,9
80663,8,91,9
80724,8,91,9
80788,8,91,9
80851,8,91,9
80914,8,91,9
80975,8,91,9
81043,8,91,9
81108,8,91,9
81167,8,91,9
81229,8,91,9
81293,9,91,9
81357,9,91,9
81419,9,91,9
81483,10,91,9
81546,10,91,9
81610,10,91,9
81674,10,91,9
81737,10,91,9
81801,10,91,9
81864,10,91,9
81928,10,91,9
81991,10,91,9
82057,10,91,9
82117,10,91,9
82182,10,91,9
82244,10,91,9
82307,10,91,9
82373,10,91,9
82434,10,91,9
82500,10,91,9
82562,10,91,9
82624,10,91,9
82691,10,91,9
82758,10,91,9
82818,10,91,9
82881,10,91,9
82943,9,90,10
83007,9,90,10
83067,9,90,10
83132,8,89,11
83196,10,89,11
83259,10,89,11
83324,10,89,11
83387,11,89,11
83447,12,89,11
83512,12,89,11
83575,11,88,12
83638,11,88,12
83700,11,88,12
83763,11,88,12
83827,11,88,12
83891,11,88,12
83956,11,88,12
84018,11,88,12
84082,11,88,12
84145,11,88,12
84209,11,88,12
84274,11,88,12
84338,11,88,12
84402,10,88,12
84465,10,88,12
84529,10,88,12
84591,10,88,12
84657,10,88,12
84718,10,88,12
84781,10,88,12
84844,10,88,12
84909,10,88,12
84972,10,88,12
85035,10,88,12
85099,10,88,12
85162,10,88,12
85225,10,88,12
85290,10,88,12
85352,10,88,12
85416,10,88,12
85480,10,88,12
85546,9,88,12
85608,9,88,12
85670,9,88,12
85733,9,88,12
85796,9,88,12
85864,9,88,12
85924,10,88,12
85988,10,88,12
86051,10,88,12
86115,10,88,12
86177,9,88,12
86242,9,88,12
86303,8,88,12
86366,8,88,12
86463,8,88,12
86525,9,88,12
86586,9,88,12
86691,9,88,12
86775,10,88,12
86862,10,88,12
86924,10,88,12
86993,11,88,12
87048,11,88,12
87117,11,88,12
87183,11,88,12
87338,11,88,12
87403,11,88,12
87547,10,88,12
87626,10,88,12
87682,10,88,12
87748,10,88,12
87811,10,88,12
87883,10,88,12
87962,10,87,13
88051,9,87,13
88134,9,87,13
88187,9,87,13
88259,9,87,13
88315,8,87,13
88385,8,87,13
88444,8,87,13
88510,9,87,13
88567,8,87,13
88636,8,87,13
88695,10,87,13
88758,10,87,13
88819,10,87,13
88883,11,87,13
88945,11,87,13
89009,10,87,13
89074,10,87,13
89134,10,87,13
89197,10,87,13
89261,10,87,13
89326,10,87,13
89394,10,87,13
89453,10,87,13
89531,10,87,13
89598,10,87,13
89669,10,87,13
89727,10,87,13
89811,10,87,13
89902,10,87,13
89964,9,87,13
90018,9,87,13
90083,9,87,13
90145,9,87,13
90217,9,87,13
90277,9,87,13
90342,9,87,13
90397,9,87,13
90464,8,87,13
90526,9,87,13
90588,9,87,13
90651,9,87,13
90714,9,87,13
90780,9,87,13
90847,9,87,13
90907,9,87,13
90969,9,87,13
91032,9,87,13
91095,9,87,13
91159,9,87,13
91224,9,87,13
91286,9,87,13
91349,9,87,13
91412,9,87,13
91485,9,87,13
91544,10,87,13
91601,10,87,13
91665,10,87,13
91728,10,87,13
91792,10,87,13
91855,10,87,13
91919,10,87,13
91983,12,87,13
92047,12,87,13
92110,12,87,13
92177,12,87,13
92249,12,87,13
92303,12,87,13
92381,12,87,13
92445,12,87,13
92511,12,87,13
92578,12,87,13
92642,12,87,13
92699,12,87,13
92762,12,87,13
92825,12,87,13
92889,12,87,13
92952,12,87,13
93014,12,87,13
93078,12,87,13
93143,12,87,13
93204,12,87,13
93267,12,87,13
93329,12,87,13
93395,12,87,13
93460,12,87,13
93523,12,87,13
93585,12,87,13
93680,12,87,13
93762,12,87,13
93827,11,86,14
93911,11,86,14
93978,11,86,14
94044,12,86,14
94110,12,86,14
94178,12,86,14
94241,13,86,14
94380,13,86,14
94457,13,86,14
94587,12,86,14
94688,12,86,14
94768,12,86,14
94888,12,86,14
94965,11,86,14
95061,11,86,14
95136,11,86,14
95204,11,86,14
95293,11,86,14
95363,11,86,14
95451,11,86,14
95525,11,86,14
95616,11,86,14
95711,11,86,14
95777,11,86,14
95851,11,86,14
95937,11,86,14
96008,11,86,14
96067,11,86,14
96147,11,86,14
96212,11,86,14
96274,11,86,14
96347,10,86,14
96411,10,86,14
96474,10,86,14
96539,10,86,14
96603,11,86,14
96668,11,86,14
96730,11,86,14
96795,11,86,14
96859,11,86,14
96919,11,86,14
96983,11,86,14
97048,13,86,14
97110,13,86,14
97178,13,86,14
97242,13,86,14
97302,13,86,14
97364,13,86,14
97429,13,86,14
97492,13,86,14
97553,13,86,14
97616,13,86,14
97680,13,86,14
97743,13,86,14
97811,14,86,14
97871,14,86,14
97934,14,86,14
97999,14,86,14
98062,14,86,14
98125,14,86,14
98191,14,86,14
98254,14,86,14
98316,14,86,14
98381,14,86,14
98444,14,86,14
98508,14,86,14
98571,14,86,14
98634,13,86,14
98696,13,86,14
98760,13,86,14
98826,12,86,14
98887,11,86,14
98950,11,86,14
99016,10,86,14
99078,8,85,15
99143,8,85,15
99203,8,85,15
99267,8,85,15
99330,8,85,15
99395,8,85,15
99459,8,85,15
99522,8,85,15
99585,8,85,15
99650,8,85,15
99715,8,85,15
99777,8,85,15
99842,8,85,15
99909,8,85,15
99964,8,85,15
100027,8,85,15
100092,8,85,15
100154,8,85,15
100218,8,85,15
100284,8,85,15
