Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
32949,8,97,3
33015,8,97,3
33078,8,97,3
33140,8,97,3
33204,8,97,3
33267,8,97,3
33331,8,97,3
33397,8,97,3
33457,8,97,3
33520,8,97,3
33583,8,97,3
33645,8,97,3
33710,8,97,3
33772,8,97,3
33835,8,97,3
33899,8,97,3
33962,8,97,3
34026,8,97,3
34089,8,97,3
34152,8,97,3
34216,8,97,3
34280,8,97,3
34344,8,97,3
34407,8,97,3
34470,8,97,3
34537,8,97,3
34597,8,97,3
34659,8,97,3
34723,8,97,3
34786,8,97,3
34850,8,97,3
34913,8,97,3
34981,8,97,3
35039,8,97,3
35101,7,97,3
35165,7,97,3
35230,7,97,3
35293,7,97,3
35356,7,97,3
35420,7,97,3
35483,7,97,3
35549,7,97,3
35613,7,97,3
35675,7,97,3
35739,7,97,3
35803,7,97,3
35865,7,97,3
35929,7,97,3
35991,7,97,3
36053,7,97,3
36148,7,97,3
36217,8,97,3
36275,8,97,3
36424,9,96,4
36481,8,96,4
36546,9,96,4
36605,9,96,4
36669,8,96,4
36732,8,96,4
36797,8,96,4
36862,8,96,4
36923,8,96,4
36987,8,96,4
37051,8,96,4
37116,8,96,4
37179,8,96,4
37242,8,96,4
37305,8,96,4
37368,8,96,4
37434,8,96,4
37500,8,96,4
37564,8,96,4
37622,8,96,4
37687,8,96,4
37752,8,96,4
37813,8,96,4
37878,8,96,4
37945,8,96,4
38003,8,96,4
38067,8,96,4
38131,8,96,4
38192,8,96,4
38256,8,96,4
38319,8,96,4
38383,8,96,4
38447,8,96,4
38509,8,96,4
38572,8,96,4
38636,8,96,4
38699,8,96,4
38762,8,96,4
38830,8,96,4
38888,8,96,4
38951,8,96,4
39014,8,96,4
39083,8,96,4
39145,8,96,4
39204,8,96,4
39268,8,96,4
39338,8,96,4
39396,8,96,4
39458,8,96,4
39522,8,96,4
39585,8,96,4
39646,8,96,4
39711,8,96,4
39774,8,96,4
39835,8,96,4
39899,8,96,4
39964,8,96,4
40027,8,96,4
40090,8,96,4
40153,8,96,4
40215,8,96,4
40279,8,96,4
40340,8,96,4
40404,8,96,4
40467,8,96,4
40529,8,96,4
40594,8,96,4
40705,8,96,4
40766,8,96,4
40855,8,96,4
40924,8,96,4
40988,8,96,4
41069,8,96,4
41130,8,96,4
41195,8,96,4
41257,8,96,4
41321,7,95,5
41385,7,95,5
41449,7,95,5
41512,6,94,6
41575,7,94,6
41638,7,94,6
41701,7,93,7
41766,6,93,7
41829,6,93,7
41897,5,92,8
41955,5,92,8
42018,5,92,8
42081,5,92,8
42145,5,92,8
42209,5,92,8
42273,5,92,8
42334,5,92,8
42398,5,92,8
42463,5,92,8
42526,5,92,8
42593,5,92,8
42653,5,92,8
42715,4,92,8
42778,4,92,8
42842,4,92,8
42903,4,92,8
42968,4,92,8
43031,4,92,8
43095,4,92,8
43157,4,92,8
43221,4,92,8
43282,4,92,8
43347,4,92,8
43411,4,92,8
43474,4,92,8
43537,4,92,8
43601,4,92,8
43663,4,92,8
43728,4,92,8
43791,4,92,8
43852,4,92,8
43917,4,92,8
43979,4,92,8
44042,4,92,8
44104,4,92,8
44167,4,92,8
44240,4,92,8
44299,4,92,8
44357,4,92,8
44421,4,92,8
44484,4,92,8
44548,3,92,8
44611,3,92,8
44674,3,92,8
44737,3,92,8
44800,3,92,8
44898,3,92,8
44967,3,92,8
45031,3,92,8
45084,3,92,8
45146,3,92,8
45211,3,92,8
45273,3,92,8
45344,3,92,8
45400,3,92,8
45463,3,92,8
45527,3,92,8
45590,3,92,8
45652,3,92,8
45716,3,92,8
45780,3,92,8
45843,3,92,8
45906,3,92,8
45969,3,92,8
46032,3,92,8
46096,3,92,8
46160,3,92,8
46222,3,92,8
46284,3,92,8
46348,3,92,8
46410,3,92,8
46473,3,92,8
46536,3,92,8
46603,2,92,8
46666,2,92,8
46727,2,92,8
46788,2,92,8
46851,1,92,8
46913,1,92,8
46974,1,92,8
47038,1,92,8
47104,1,92,8
47170,1,92,8
47228,1,92,8
47290,1,92,8
47353,1,92,8
47417,1,92,8
47480,1,92,8
47543,1,92,8
47607,1,92,8
47669,1,92,8
47730,1,92,8
47795,1,92,8
47857,1,92,8
47920,1,92,8
47984,1,92,8
48068,1,92,8
48126,1,92,8
48189,1,92,8
48250,1,92,8
48313,1,92,8
48378,1,92,8
48440,1,92,8
48503,1,92,8
48566,1,92,8
48629,1,92,8
48691,1,92,8
48754,1,92,8
48817,1,92,8
48880,1,92,8
48944,1,92,8
49007,1,92,8
49085,1,92,8
49148,1,92,8
49212,1,92,8
49275,1,92,8
49338,1,92,8
49401,1,92,8
49464,1,92,8
49528,1,92,8
49591,1,92,8
49655,1,92,8
49731,1,92,8
49797,1,92,8
49861,1,92,8
49923,1,92,8
49987,1,92,8
50050,1,92,8
50114,1,92,8
50177,1,92,8
50240,1,92,8
50303,2,92,8
50365,2,92,8
50429,2,92,8
50493,2,92,8
50559,2,92,8
50642,2,92,8
50722,2,92,8
50778,2,92,8
50840,2,92,8
50904,2,92,8
50968,2,92,8
51032,2,92,8
51096,2,92,8
51166,2,92,8
51223,2,92,8
51287,2,92,8
51350,2,92,8
51413,2,92,8
51478,2,92,8
51540,2,92,8
51603,2,92,8
51668,2,92,8
51730,2,92,8
51795,2,92,8
51858,2,92,8
51921,2,92,8
51984,2,92,8
52048,2,92,8
52111,2,92,8
52174,2,91,9
52239,1,91,9
52302,1,91,9
52366,1,91,9
52429,1,91,9
52504,1,91,9
52570,1,91,9
52634,1,91,9
52702,1,91,9
52761,1,91,9
52823,1,91,9
52888,1,91,9
52951,1,91,9
53014,1,91,9
53079,1,91,9
53142,1,91,9
53206,1,91,9
53269,1,91,9
53332,1,91,9
53405,1,91,9
53459,1,91,9
53523,1,91,9
53585,1,91,9
53647,1,91,9
53711,1,91,9
53773,1,91,9
53836,1,91,9
53900,1,91,9
53963,1,91,9
54026,1,91,9
54090,1,91,9
54152,1,91,9
54215,1,91,9
54279,1,91,9
54341,1,91,9
54405,1,91,9
54469,1,91,9
54532,1,91,9
54596,1,91,9
54660,1,91,9
54722,1,91,9
54786,1,91,9
54850,1,91,9
54913,1,91,9
54976,1,91,9
55039,1,91,9
55102,1,91,9
55164,1,91,9
55228,1,91,9
55292,2,91,9
55356,2,91,9
55417,2,91,9
55480,2,91,9
55546,2,91,9
55608,2,91,9
55672,2,91,9
55735,2,91,9
55798,2,91,9
55862,2,91,9
55925,2,91,9
55989,2,91,9
56051,2,91,9
56115,2,91,9
56179,2,91,9
56241,2,91,9
56305,2,91,9
56368,2,91,9
56431,2,91,9
56496,2,91,9
56557,2,91,9
56621,2,91,9
56684,2,91,9
56753,2,91,9
56811,2,91,9
56874,2,91,9
56936,2,91,9
57000,2,91,9
57064,2,91,9
57127,2,91,9
57191,1,91,9
57254,1,91,9
57331,1,91,9
57396,1,91,9
57457,1,91,9
57521,1,91,9
57585,1,91,9
57648,1,91,9
57711,1,91,9
