Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
72892,6,88,12
72956,6,88,12
73019,6,88,12
73083,6,88,12
73146,6,88,12
73209,6,88,12
73273,6,88,12
73338,5,87,13
73400,5,87,13
73463,5,87,13
73528,4,86,14
73591,4,86,14
73656,4,86,14
73717,4,86,14
73782,4,86,14
73845,4,86,14
73909,4,86,14
73973,4,86,14
74037,4,86,14
74099,4,86,14
74163,4,86,14
74227,4,86,14
74290,4,86,14
74354,4,86,14
74417,4,86,14
74480,4,86,14
74544,4,86,14
74608,4,86,14
74672,4,86,14
74736,4,86,14
74799,4,86,14
74862,4,86,14
74926,4,86,14
74990,4,86,14
75054,4,86,14
75117,4,86,14
75182,4,86,14
75245,4,86,14
75310,4,86,14
75372,3,86,14
75434,3,86,14
75498,3,86,14
75561,3,86,14
75625,3,86,14
75737,3,86,14
75806,3,86,14
75863,3,86,14
75927,3,86,14
75991,3,86,14
76056,3,86,14
76117,3,86,14
76181,3,86,14
76244,3,86,14
76307,3,86,14
76372,3,86,14
76434,3,86,14
76498,3,86,14
76561,3,86,14
76626,3,86,14
76687,3,86,14
76753,3,86,14
76816,3,86,14
76877,3,86,14
76941,3,86,14
77005,3,86,14
77068,3,86,14
77131,3,86,14
77195,3,86,14
77258,3,86,14
77323,3,86,14
77386,3,86,14
77451,3,86,14
77513,3,86,14
77576,3,86,14
77640,3,86,14
77705,3,86,14
77767,3,86,14
77833,3,86,14
77895,3,86,14
77959,3,86,14
78022,3,86,14
78085,3,86,14
78149,3,86,14
78213,3,86,14
78289,3,86,14
78362,2,85,15
78419,2,85,15
78480,2,85,15
78544,2,85,15
78609,2,85,15
78670,2,85,15
78734,2,85,15
78797,2,85,15
78860,2,85,15
78924,2,85,15
78988,2,85,15
79052,2,85,15
79115,2,85,15
79179,2,85,15
79243,2,85,15
79307,2,85,15
79370,2,85,15
79433,2,85,15
79497,2,85,15
79560,1,85,15
79624,1,85,15
79688,1,85,15
79753,1,85,15
79816,1,85,15
79879,1,85,15
79941,1,85,15
80003,1,85,15
80067,1,85,15
80131,1,85,15
80193,1,85,15
80257,1,85,15
80321,1,85,15
80383,1,85,15
80447,1,85,15
80511,1,85,15
80573,1,85,15
80637,1,85,15
80702,1,85,15
80764,1,85,15
80827,1,85,15
80892,1,85,15
80956,1,85,15
81019,1,85,15
81083,1,85,15
81148,1,85,15
81212,1,85,15
81271,1,85,15
81334,1,85,15
81397,1,85,15
81462,1,85,15
81524,1,85,15
81587,1,85,15
81652,1,85,15
81715,1,85,15
81778,1,85,15
81840,1,85,15
81903,1,85,15
81967,1,85,15
82031,1,85,15
82094,1,85,15
82159,1,85,15
82219,1,85,15
82282,1,85,15
82346,1,85,15
82410,1,85,15
82473,1,85,15
82537,1,85,15
82601,1,85,15
82666,1,85,15
82729,1,85,15
82792,1,85,15
82856,1,85,15
82919,1,85,15
82982,1,85,15
83046,1,85,15
83112,0,84,16
